county,distid,dist_name,instid,inst_name,inst_type,asian,black_african_american,hispanic_latino,american_indian_alaska_native,multi_racial,native_hawaiian_pacific_islander,white
Umatilla,2208,Athena-Weston SD 29RJ,1053,Athena Elementary School,School,NA,NA,5.9,NA,NA,NA,14.6
Umatilla,2209,Stanfield SD 61,1060,Stanfield Elementary School,School,NA,NA,6.5,NA,NA,NA,4.5
Union,2212,La Grande SD 1,1066,Central Elementary School,School,NA,NA,NA,NA,NA,12.4,10.9
Union,2212,La Grande SD 1,1068,Greenwood Elementary School,School,NA,NA,NA,NA,NA,NA,7
Union,2212,La Grande SD 1,1069,Island City Elementary School,School,NA,NA,NA,NA,NA,NA,10.7
Union,2213,Union SD 5,1074,Union Elementary School,School,NA,NA,NA,NA,NA,NA,8.5
Union,2215,Imbler SD 11,1079,Imbler Charter School,School,NA,NA,NA,NA,NA,NA,8.9
Union,2217,Elgin SD 23,1082,Stella Mayfield Elementary School,School,NA,NA,NA,NA,NA,NA,10.8
Wallowa,2219,Joseph SD 6,1084,Imnaha Elementary School,School,NA,NA,NA,NA,NA,NA,NA
Wallowa,2219,Joseph SD 6,1087,Joseph Charter School,School,NA,NA,NA,NA,NA,NA,10.7
Wallowa,2220,Wallowa SD 12,1088,Wallowa Elementary School,School,NA,NA,NA,NA,NA,NA,9.2
Wallowa,2221,Enterprise SD 21,1090,Enterprise Elementary School,School,NA,NA,NA,NA,NA,NA,12.3
Wasco,4131,North Wasco County SD 21,1093,Chenowith Elementary School,School,NA,NA,2.2,NA,NA,NA,4.2
Wasco,4131,North Wasco County SD 21,1095,Mosier Community School,School,NA,NA,6.7,NA,NA,NA,11.6
Wasco,4131,North Wasco County SD 21,1097,Colonel Wright Elementary School,School,NA,NA,2.5,NA,NA,NA,8.4
Wasco,4131,North Wasco County SD 21,1098,Dry Hollow Elementary School,School,NA,NA,2.8,NA,NA,NA,7.9
Wasco,2225,South Wasco County SD 1,1108,Maupin Elementary School,School,NA,NA,NA,NA,NA,NA,4.9
Washington,2239,Hillsboro SD 1J,1110,Lenox Elementary School,School,17,NA,11.2,NA,11.9,NA,11.5
Washington,2239,Hillsboro SD 1J,1111,West Union Elementary School,School,NA,NA,4,NA,8.2,NA,3.9
Washington,2239,Hillsboro SD 1J,1112,Brookwood Elementary School,School,NA,NA,0.8,NA,NA,NA,9.6
Washington,2239,Hillsboro SD 1J,1114,W Verne McKinney Elementary School,School,NA,NA,1.7,NA,NA,NA,9.8
Washington,2239,Hillsboro SD 1J,1115,Eastwood Elementary School,School,NA,NA,1.1,NA,NA,NA,7.4
Washington,2239,Hillsboro SD 1J,1116,Minter Bridge Elementary School,School,7.3,NA,2.8,NA,5,NA,6.7
Washington,2239,Hillsboro SD 1J,1117,Mooberry Elementary School,School,NA,NA,1.2,NA,6.3,NA,5
Washington,2239,Hillsboro SD 1J,1119,W L Henry Elementary School,School,NA,NA,3,NA,NA,NA,NA
Washington,2240,Banks SD 13,1120,Banks Elementary School,School,NA,NA,1.6,NA,NA,NA,7.5
Washington,2241,Forest Grove SD 15,1128,Cornelius Elementary School,School,NA,NA,7.1,NA,NA,NA,9.9
Washington,2241,Forest Grove SD 15,1129,Dilley Elementary School,School,NA,NA,NA,NA,NA,NA,6.3
Washington,2241,Forest Grove SD 15,1130,Echo Shaw Elementary School,School,NA,NA,9.6,NA,NA,NA,NA
Washington,2241,Forest Grove SD 15,1132,Harvey Clarke Elementary School,School,NA,NA,4.5,NA,NA,NA,8.1
Washington,2241,Forest Grove SD 15,1133,Joseph Gale Elementary School,School,NA,NA,1.7,NA,NA,NA,5.8
Washington,2242,Tigard-Tualatin SD 23J,1135,Bridgeport Elementary School,School,NA,NA,4,NA,2.3,NA,14.2
Washington,2242,Tigard-Tualatin SD 23J,1136,Charles F Tigard Elementary School,School,NA,NA,7.5,NA,4.3,0.9,9.2
Washington,2242,Tigard-Tualatin SD 23J,1137,Mary Woodward Elementary School,School,13.4,NA,2.6,NA,16,NA,13.1
Washington,2242,Tigard-Tualatin SD 23J,1138,Durham Elementary School,School,NA,NA,2,NA,NA,NA,11.9
Washington,2242,Tigard-Tualatin SD 23J,1139,James Templeton Elementary School,School,NA,NA,3,NA,10.7,NA,10.5
Washington,2242,Tigard-Tualatin SD 23J,1140,Metzger Elementary School,School,NA,NA,4,NA,NA,NA,12.9
Washington,2242,Tigard-Tualatin SD 23J,1142,Edward Byrom Elementary School,School,NA,NA,5.2,NA,NA,NA,12.5
Washington,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,School,NA,NA,0.6,NA,NA,NA,9.1
Washington,2239,Hillsboro SD 1J,1147,Butternut Creek Elementary School,School,NA,NA,9.9,NA,NA,NA,10.6
Washington,2239,Hillsboro SD 1J,1148,Indian Hills Elementary School,School,12.1,NA,3.6,NA,5.1,NA,5.6
Washington,2239,Hillsboro SD 1J,1149,Reedville Elementary School,School,NA,NA,0.8,NA,NA,NA,8.2
Washington,2239,Hillsboro SD 1J,1150,Ladd Acres Elementary School,School,NA,NA,1.7,NA,NA,NA,9.4
Washington,2239,Hillsboro SD 1J,1151,Witch Hazel Elementary School,School,NA,NA,NA,NA,NA,NA,NA
Washington,2239,Hillsboro SD 1J,1152,Groner Elementary School,School,NA,NA,0.2,NA,NA,NA,14.3
Washington,2243,Beaverton SD 48J,1153,Aloha-Huber Park School,School,16.6,10.2,5.3,NA,17,NA,10.4
Washington,2243,Beaverton SD 48J,1154,Barnes Elementary School,School,NA,NA,4.7,NA,NA,NA,8.5
Washington,2243,Beaverton SD 48J,1155,Beaver Acres Elementary School,School,10.8,NA,7.2,NA,10.9,NA,7
Washington,2243,Beaverton SD 48J,1156,Bethany Elementary School,School,18.5,NA,7.2,NA,NA,NA,9.1
Washington,2243,Beaverton SD 48J,1157,Greenway Elementary School,School,NA,NA,1.2,NA,NA,NA,5.7
Washington,2243,Beaverton SD 48J,1158,Cedar Mill Elementary School,School,14.5,NA,9.7,NA,18.3,NA,11
Washington,2243,Beaverton SD 48J,1159,Chehalem Elementary School,School,6.7,NA,2.6,NA,8.6,NA,11.7
Washington,2243,Beaverton SD 48J,1160,Cooper Mountain Elementary School,School,12.8,NA,11,NA,NA,NA,13.3
Washington,2243,Beaverton SD 48J,1161,Errol Hassell Elementary School,School,NA,NA,8.1,NA,8.8,NA,10.1
Washington,2243,Beaverton SD 48J,1162,Elmonica Elementary School,School,18,NA,1.7,NA,11.6,NA,9.1
Washington,2243,Beaverton SD 48J,1163,Fir Grove Elementary School,School,NA,NA,3.3,NA,7.3,NA,13.4
Washington,2243,Beaverton SD 48J,1164,Hazeldale Elementary School,School,8.1,NA,3,NA,NA,NA,8.4
Washington,2243,Beaverton SD 48J,1165,Hiteon Elementary School,School,NA,NA,2.5,NA,4.6,NA,11.6
Washington,2243,Beaverton SD 48J,1166,Kinnaman Elementary School,School,14.7,NA,7,NA,11,NA,9.9
Washington,2243,Beaverton SD 48J,1168,McKay Elementary School,School,NA,NA,2.5,NA,NA,NA,11.6
Washington,2243,Beaverton SD 48J,1169,McKinley Elementary School,School,17.3,11,4.6,NA,NA,NA,8
Washington,2243,Beaverton SD 48J,1170,Montclair Elementary School,School,NA,NA,NA,NA,19.6,NA,15.3
Washington,2243,Beaverton SD 48J,1171,Oak Hills Elementary School,School,16.6,NA,7.8,NA,18.1,NA,16
Washington,2243,Beaverton SD 48J,1172,Raleigh Hills Elementary School,School,NA,NA,2.5,NA,18,NA,14.1
Washington,2243,Beaverton SD 48J,1173,Raleigh Park Elementary School,School,NA,NA,4.8,NA,NA,NA,10.9
Washington,2243,Beaverton SD 48J,1174,Ridgewood Elementary School,School,NA,NA,12.7,NA,NA,NA,9.4
Washington,2243,Beaverton SD 48J,1175,Rock Creek Elementary School,School,12.8,NA,4.9,NA,NA,NA,10.9
Washington,2243,Beaverton SD 48J,1176,Terra Linda Elementary School,School,NA,NA,6.3,NA,6.5,NA,13.3
Washington,2243,Beaverton SD 48J,1177,Vose Elementary School,School,NA,NA,4.1,NA,2.3,NA,8.4
Washington,2243,Beaverton SD 48J,1178,West Tualatin View Elementary School,School,16.8,NA,17.4,NA,NA,NA,14.1
Washington,2243,Beaverton SD 48J,1179,William Walker Elementary School,School,NA,NA,4,NA,9.7,NA,10.5
Washington,2239,Hillsboro SD 1J,1189,Farmington View Elementary School,School,NA,NA,1.5,NA,NA,NA,10.3
Washington,2239,Hillsboro SD 1J,1190,North Plains Elementary School,School,NA,NA,10.6,NA,NA,NA,7.2
Washington,2244,Sherwood SD 88J,1191,J Clyde Hopkins Elementary School,School,NA,NA,6.2,NA,NA,NA,13.5
Washington,2245,Gaston SD 511J,1194,Gaston Elementary School,School,NA,NA,NA,NA,NA,NA,4.5
Wheeler,2248,Fossil SD 21J,1205,Fossil Charter School,School,NA,NA,NA,NA,NA,NA,14.6
Yamhill,2252,Amity SD 4J,1208,Amity Elementary School,School,NA,NA,4.4,NA,NA,NA,8.4
Yamhill,2253,Dayton SD 8,1211,Dayton Grade School,School,NA,NA,0.6,NA,NA,NA,4.1
Yamhill,2251,Yamhill Carlton SD 1,1213,Yamhill Carlton Elementary School,School,NA,NA,10.2,NA,NA,NA,6.1
Yamhill,2254,Newberg SD 29J,1216,Dundee Elementary School,School,NA,NA,NA,NA,NA,NA,11.4
Yamhill,2254,Newberg SD 29J,1217,Edwards Elementary School,School,NA,NA,6.4,NA,2.8,NA,13.4
Yamhill,2254,Newberg SD 29J,1218,Ewing Young Elementary School,School,NA,NA,NA,NA,NA,NA,14.9
Yamhill,2254,Newberg SD 29J,1219,Mabel Rush Elementary School,School,NA,NA,2.6,NA,NA,NA,11.8
Yamhill,2255,Willamina SD 30J,1224,Willamina Elementary School,School,NA,NA,3.8,7.7,8.9,NA,7.6
Yamhill,2256,McMinnville SD 40,1228,Columbus Elementary School,School,NA,NA,3.8,NA,NA,NA,5.5
